"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
278.15,1,2.6852,2.8852,0,5
278.15,1,2.695,2.895,0,5
278.15,1,2.7048,2.9048,0,5
278.15,1,2.7146,2.9146,0,5
278.15,1,2.7244,2.9244,0,5
278.14,1,2.7342,2.9342,0,5
278.14,1,2.744,2.944,0,5
278.14,1,2.7538,2.9538,0,5
278.14,1,2.7636,2.9636,0,5
278.14,1,2.7734,2.9734,0,5
278.14,1,2.7832,2.9832,0,5
278.14,1,2.793,2.993,0,5
278.14,1,2.8028,3.0028,0,5
278.14,1,2.8126,3.0126,0,5
278.14,1,2.8224,3.0224,0,5
278.14,1,2.8322,3.0322,0,5
278.14,1,2.842,3.042,0,5
278.14,1,2.8518,3.0518,0,5
278.14,1,2.8616,3.0616,0,5
278.14,1,2.8714,3.0714,0,5
278.14,1,2.8812,3.0812,0,5
278.14,1,2.891,3.091,0,5
278.13,1,2.9008,3.1008,0,5
278.13,1,2.9106,3.1106,0,5
278.13,1,2.9204,3.1204,0,5
278.13,1,2.9302,3.1302,0,5
278.13,1,2.94,3.14,0,5
278.13,1,2.9498,3.1498,0,5
278.13,1,2.9596,3.1596,0,5
278.13,1,2.9694,3.1694,0,5
278.13,1,2.9792,3.1792,0,5
278.13,1,2.989,3.189,0,5
278.13,1,2.9988,3.1988,0,5
278.13,1,3.0086,3.2086,0,5
278.12,1,3.0184,3.2184,0,5
278.12,1,3.0282,3.2282,0,5
278.12,1,3.038,3.238,0,5
278.12,1,3.0478,3.2478,0,5
278.12,1,3.0576,3.2576,0,5
278.12,1,3.0674,3.2674,0,5
278.12,1,3.0772,3.2772,0,5
278.12,1,3.087,3.287,0,5
278.12,1,3.0968,3.2968,0,5
278.12,1,3.1066,3.3066,0,5
278.12,1,3.1164,3.3164,0,5
278.12,1,3.1262,3.3262,0,5
278.11,1,3.136,3.336,0,5
278.11,1,3.1458,3.3458,0,5
278.11,1,3.1556,3.3556,0,5
278.11,1,3.1654,3.3654,0,5
278.1,1,3.1752,3.3752,0,5
278.09,1,3.185,3.385,0,5
278.08,1,3.1948,3.3948,0,5
278.07,1,3.2046,3.4046,0,5
278.06,1,3.2144,3.4144,0,5
278.05,1,3.2242,3.4242,0,5
278.03,1,3.234,3.434,0,5
278.02,1,3.2438,3.4438,0,5
278.01,1,3.2536,3.4536,0,5
278,1,3.2634,3.4634,0,5
277.99,1,3.2732,3.4732,0,5
277.98,1,3.283,3.483,0,5
277.97,1,3.2928,3.4928,0,5
277.96,1,3.3026,3.5026,0,5
277.95,1,3.3124,3.5124,0,5
277.94,1,3.3222,3.5222,0,5
277.93,1,3.332,3.532,0,5
277.92,1,3.3418,3.5418,0,5
277.91,1,3.3516,3.5516,0,5
277.9,1,3.3614,3.5614,0,5
277.89,1,3.3712,3.5712,0,5
277.88,1,3.381,3.581,0,5
277.87,1,3.3908,3.5908,0,5
